"id","user_id","title","description","years","months","published","order"
18,5,"Ráðgjöf til fyrirtækja um fjárhagslega endurskipulagningu","Hef veitt fyrirtækjum fjármálaráðgjöf, bæði sem starfsmaður Arion banka og Íslandsbanka í 4 ár og síðar sem óháður ráðgjafi. Menntun í fjármálum frá UPenn með áherslu á áhættustýringu og fjármögnun. Kenni áhættustýringu í Háskóla Íslands og hef haldið fjölda námskeiða um fjármál.",8,0,TRUE,1
29,6,"Lögfræðileg ráðgjöf við samruna og yfirtökur","Lögfræðiráðgjöf, samningaviðræður og samningsgerð við yfirtökur og samruna fyrirtækja á Íslandi eða erlendis. Meðal viðskiptavina eru Apple, Walmart og Bykopp.",25,0,TRUE,1
32,7,"Smíði á vefsíðum frá grunni eða ofan á WP","Reyndur hugbúnaðarsérfræðingur, þekki best HTML, CSS, SQL, .NET, MVC, PHP, Javascript, Python, C++, Photoshop, Illustrator, Windows, Linux & Wordpress. Meðal viðskiptavina eru Auglýsingastofan, Ferðastkrifstofan og Búðin.",5,11,TRUE,1
33,8,"Hanna og forrita vefsíður, öpp og ýmis forrit","Úskrifaður tölvunarfræðingur frá HR 2020. Hef nokkuð góða kunnáttu í forritunarmálum eins og Java, C++, HTML/CSS, JSP og JavaScript.",0,3,TRUE,1
34,9,"Vinnustofur fyrir starfsmenn fyrirtækja í notkun verkfæra Lean & Six Sigma","Starfaði á sviði Lean, stöðugra umbóa og gæðamála, á Norðurlöndum,  verkferlagreining í þjónustu, framleiðslu, aðfangakeðjum og skrifstofuumhverfi, Hef haldið vinnustofur hjá fyrirtækjum á Íslandi og í Noregi í eitt ár.  ",1,2,TRUE,1
35,10,"Námskeið - Jákvæð samskipti á vinnustað","Námskeið sem eflir starfsfólk í jákvæðum samskiptum, byggð á gagnkvæmri virðingu og sjálfsstjórn. Hefur verið haldið hjá 12 fyrirtækjum með góðum árangri. Námskeiðið er 1 klst og hentar því vel á morgunfundi eða í hádegishléi.",0,2,TRUE,1
36,11,"Námskeið - Árangursrík og öflug liðsheild á vinnustað","Kennari í meistaranámi HR og margreyndur stjórnandi. Markmið námskeiðsins er að stjórnandinn fái í hendur verkfæri og kynnist aðferðum til þess að ná enn meiri árangri sem stjórnandi öflugrar liðsheildar. Sérstök áhersla er lögð á að stjórandinn öðlist færni til að styðja við jákvæða framþróun teymisins síns. Námskeiðið er 7 klst.",3,0,TRUE,1
132,409,"Afla upplýsinga um sérfræðinga í tiltekin verkefni fyrir fyrirtæki","Aðstoða fyrirtæki við að finna sérfræðinga sem taka að sér verkefni til skamms tíma. Skilgreiningar og verkefnalýsingar í samráði við stjórnendur hjá fyrirtækinu. ",,1,FALSE,
133,409,"Afla upplýsinga um sérfræðinga í tiltekin verkefni fyrir fyrirtæki","Aðstoða fyrirtæki við að finna sérfræðinga sem taka að sér verkefni til skamms tíma. Skilgreiningar og verkefnalýsingar í samráði við stjórnendur hjá fyrirtækinu. ",,1,FALSE,
135,409,"Afla upplýsinga um sérfræðinga í tiltekin verkefni fyrir fyrirtæki","Aðstoða fyrirtæki við að finna sérfræðinga sem taka að sér verkefni til skamms tíma. Skilgreiningar og verkefnalýsingar í samráði við stjórnendur hjá fyrirtækinu. ",,1,FALSE,
134,409,"Afla upplýsinga um sérfræðinga í skilgreind verkefni fyrir fyrirtæki","Aðstoða fyrirtæki við að finna sérfræðinga sem taka að sér verkefni til skamms tíma. Skilgreiningar og verkefnalýsingar í samráði við stjórnendur hjá fyrirtækinu. ",0,1,TRUE,
3,1,"Hönnun á innréttingum og lýsingu, efnisval, tillögur að útfærslu eða fullunnar teikningar.","Arkitekt frá Mílanó. Hannaði skrifstofubyggingu ALMOS. Starfaði hjá arkitektastofu í Mílanó í 6 ár sem sérhæfði sig í skrifstofuhúsnæði. Hannaði allar verslanir BRIMKOPA og verslanir PPK. Starfaði með arkitektastofunni Hlýr í Reykjavík í 4 ár og eftir það sjálfstætt. Hef komið að hönnun 30 verslana.C",10,10,FALSE,3
2,1,"Hönnun verslunarrýmis með verkteikningum, lýsingu og innréttingum","Arkitekt frá Mílanó. Hannaði allar verslanir BRIMKOPA og verslanir PPK. Starfaði með arkitektastofunni Hlýr í Reykjavík í 4 ár og eftir það sjálfstætt. Hef komið að hönnun 30 verslana.",10,9,TRUE,1
122,324,"Upplifunarhönnun","Test - Tek að mér að hanna upplifun",,,FALSE,
4,1,"Teikningar fyrir stórar og smáar breytingar á skrifstofuhúsnæði","Arkitekt frá Mílanó. Hannaði skrifstofubyggingu ALMOS. Starfaði hjá arkitektastofu í Mílanó í 6 ár sem sérhæfði sig í skrifstofuhúsnæði.",10,10,FALSE,2
1,1,"Hönnun skrifstofurýmis með verkteikningum, lýsingu og innréttingum","Arkitekt frá Mílanó. Hannaði skrifstofubyggingu ALMOS. Starfaði hjá arkitektastofu í Mílanó í 6 ár sem sérhæfði sig í skrifstofuhúsnæði.",10,10,TRUE,4
175,472,"1","2",1,1,TRUE,
99,1,"Hljóðvist í vinnurými","Þar sem skrifstofurými eru opin var mikil áhersla lögð á vandaða hljóðvist vinnurýma. Þannig var kappkostað að lágmarka hljóð frá tæknibúnaði innanhúss og að hljóðeinangrun milli rýma væri góð. ",4,12,FALSE,7
113,1,"Námskeið í hönnun verslunarrýmis","Farið í grunnatriði hönnunar verslunar. Aðgegni viðskiptavina. Áskoranir í framsetningu vöru, birgðageymslu og starfsmannaaðstöðu.",3,2,FALSE,8
114,1,"Námskeið í hönnun verslunarrýmis","Farið í grunnatriði hönnunar verslunar. Aðgegni viðskiptavina. Áskoranir í framsetningu vöru, birgðageymslu og starfsmannaaðstöðu.",3,2,TRUE,9
115,1,"Námskeið í hönnun verslunarrýmis","Farið í grunnatriði hönnunar verslunar. Aðgegni viðskiptavina. Áskoranir í framsetningu vöru, birgðageymslu og starfsmannaaðstöðu.",3,2,TRUE,10
100,1,"Annað nafn.","Þar sem skrifstofurými eru opin var mikil áhersla lögð á vandaða hljóðvist vinnurýma. Þannig var kappkostað að lágmarka hljóð frá tæknibúnaði innanhúss og að hljóðeinangrun milli rýma væri góð. ",4,0,TRUE,6
17,4,"Skrifa vörulýsingar fyrir vefverslanir og bæklinga","Hef lengst af unnið við textagerð og fréttaskrif. Tekið og skrifað fjölda viðtala. Er menntaður íslenskufræðingur og hef prófarkalesið skýrslur, bæklinga, vefsíður, bækur, blogg og fjölmiðla. ",4,4,TRUE,4
16,4,"Tek að mér textaskrif fyrir fyrirtæki, ársskýrslur og bæklinga","Hef lengst af unnið við textagerð og fréttaskrif. Tekið og skrifað fjölda viðtala. Er menntaður íslenskufræðingur og hef prófarkalesið skýrslur, bæklinga, vefsíður, bækur, blogg og fjölmiðla. ",1,0,TRUE,3
117,244,"Hönnun bæklinga og vörulista","Hef hannað vörulista og prentað kynningarefni fyrir þrjú af stærstu fyrirtækjum landsins. Marel hefur verið fastur viðskiptavinur í þrjú ár.  (Textinn er sýnishorn.  Um tilraun að ræða)",6,2,TRUE,
145,472,"Title","Desc",1,4,FALSE,
5,1,"Hanna verslunarrými frá A til Ö ","Arkitekt frá Mílanó. Hannaði allar verslanir BRIMKOPA og verslanir PPKT. Starfaði með arkitektastofunni Hlýr í Reykjavík í 4 ár og eftir það sjálfstætt. Hef komið að hönnun 30 verslana.",10,10,FALSE,5
118,244,"Tek að mér hönnun á prentefni","Hef unnið föst verkefni fyrir Marel í 3 ár.",6,2,FALSE,
119,244,"Tek að mér hönnun á prentefni","Hef unnið föst verkefni fyrir Marel í 3 ár.",6,2,FALSE,
12,3,"Vefumsjón","Menntaður vefhönnuður frá Tækniskólanum. Vinn með Indesign, Illustrator og Photoshop. Hanna vefi  að hluta og í heild sinni, lógó og merkingar. Hef mikið starfað við vefumsjón, mest með vefumsjónarkerfin WordPress og WooCommerce.   Dæmi um hönnun og vefsíðugerð er að finna á vefnum minum arnmundur.is",3,6,TRUE,2
15,4,"Tek að mér að skrifa fréttir og blogg á vefsíður fyrirtækja","Hef lengst af unnið við textagerð og fréttaskrif. Tekið og skrifað fjölda viðtala. Er menntaður íslenskufræðingur og hef prófarkalesið skýrslur, bæklinga, vefsíður, bækur, blogg og fjölmiðla. ",1,2,TRUE,2
13,3,"Umbrot og textavinna","Starfaði í umbroti og textavinnu hjá Héraðsblaðinu.  Menntaður vefhönnuður frá Tækniskólanum. Vinn með Indesign, Illustrator og Photoshop.",15,0,TRUE,3
11,3,"Vefhönnun og lógó","Menntaður vefhönnuður frá Tækniskólanum. Vinn með Indesign, Illustrator og Photoshop. Hanna vefi  að hluta og í heild sinni, lógó og merkingar. Hef mikið starfað við vefumsjón, mest með vefumsjónarkerfin WordPress og WooCommerce.   Dæmi um hönnun og vefsíðugerð er að finna á vefnum minum arnmundur.is",3,6,TRUE,1
14,4,"Tek að mér prófarkalestur á skýrslum og markaðsefni","Hef lengst af unnið við textagerð og fréttaskrif. Tekið og skrifað fjölda viðtala. Er menntaður íslenskufræðingur og hef prófarkalesið skýrslur, bæklinga, vefsíður, bækur, blogg og fjölmiðla. ",9,3,TRUE,1
9,2,"Kostnaðaráætlanir, hönnun og ráðgjöf við mannvirkjagerð","Stýring verkefna, gerð og eftirfylgni tíma- og kostnaðaráætlana ásamt framkvæmdaeftirliti.",15,0,TRUE,4
7,2,"Gerð útboðsgagna og samninga í mannvirkjagerð","Stýring verkefna, gerð og eftirfylgni tíma- og kostnaðaráætlana ásamt framkvæmdaeftirliti.",15,0,TRUE,3
8,2,"Umsjón og eftirlit framkvæmda í mannvirkjagerð","Stýring verkefna, gerð og eftirfylgni tíma- og kostnaðaráætlana ásamt framkvæmdaeftirliti.",15,0,TRUE,5
6,2,"Burðarþols- og lagnahönnun í þrívídd.","Sérþekking á sviðum burðarþolshönnunar með nýjustu þróun í hönnunaraðferðum, hugbúnaðartækni og þríviddarvinnslu til þess að uppfylla þarfir viðskiptavinarins, hvort sem um er að ræða ný eða eldri mannvirki. Af þekktum mannvirkjum í burðarþolshönnun má nefna Grand Hótel og Háskólatorg",15,0,TRUE,2
10,2,"Greining aksturferla og umferðarflæðis um lóðir fyrirtækja","Dæmi um verkefni á þessu sviði má nefna greiningu akstursferla og umferðarflæðis á nýrri lóð Kommunen í Haag og hönnunarstýringu þjónustumiðstöðvar við Gullsmára í Kópavogi.",15,0,FALSE,1
131,409,"Aðstoð við uppsetningu prófíla á Kontaktar.is","Hef admin-aðgang að kontaktar.is og aðstoða sérfræðinga við að setja upp notendasíðu á vefnum.",,1,TRUE,
25,5,"Ráðgjöf við högun fjárfestinga og áhættustýringu, mat á fjárfestingakostum","Hef veitt fyrirtækjum fjármálaráðgjöf, bæði sem starfsmaður Arion banka og Íslandsbanka í 4 ár og síðar sem óháður ráðgjafi. Menntun í fjármálum frá UPenn með áherslu á áhættustýringu og fjármögnun. Kenni áhættustýringu í Háskóla Íslands og hef haldið fjölda námskeiða um fjármál.",8,0,TRUE,8
